
S. No.,Titles of the Research Paper,Name of the Journal,"ISSN
Number
","Year, volume number and pagination details",Are you First/ Corresponding/ Co- author,Total number of author/s,Impact factor of the journal ,Link of the journal website ,Link of the paper available on website
1,Laboratory Evaluation of Stiffness in Prefabricated Vertical Drains for Consolidation of Soft Kaolin Soil under Radial Flow,Springer Proceedings under ,,GeoMandu 2024,Yes,2,Aceepted and Under Process for Publication,Aceepted and Under Process for Publication,Aceepted and Under Process for Publication
2,Experimental Study on Performance of Prefabricated Vertical Drain on Kaolinite with Various Drain Material,Springer Nature link,,IGC 2022 (Published in 2024),Yes,3,,https://link.springer.com/chapter/10.1007/978-981-97-1745-3_5,https://link.springer.com/chapter/10.1007/978-981-97-1745-3_5
3,Cost Effective Optimization of Prefabrication jute Drains with Polyamide Polyester Geosynthetics for soft Kadlin Soil Improvement,Springer Proceedings under IGC 2024 – Ground Improvement technique-1,,IGC-2024,Yes,2,Aceepted and Under Process for Publication,Aceepted and Under Process for Publication,Aceepted and Under Process for Publication
4,Enhancing Soil Consolidation of Coastal Soils : Investigating the Role of Sawdust Vertical Drain Material of Cross Shape and Circular Shape Using Modified Rowe Type Oedometer,Springer Proceedings under WIGC 2024 – Ground Improvement technique-1,,WIGC-2024,Yes,2,Aceepted and Under Process for Publication,Aceepted and Under Process for Publication,Aceepted and Under Process for Publication
5,"""Influence of Spacing of Drains on Rate of Settlement Reduction in Soft Soils”",Springer Proceedings under WIGC 2024 – Ground Improvement technique-1,,GEO Practices- 2024,Yes,2,Aceepted and Under Process for Publication,Aceepted and Under Process for Publication,Aceepted and Under Process for Publication
6,Co-relation and compaCCo relation and Comparison of allowable bearing pressure by different methods ,AIP Conference Proceedings,"Volume 3241, ",PICET 2024,No,2,NA,https://doi.org/10.1063/5.0178671 ,https://pubs.aip.org/aip/acp/article-abstract/2855/1/050010/2928984/Co-relation-and-comparison-of-allowable-bearing?redirectedFrom=fulltext 
7,Influence of Triangular Pattern Darain Spacing on Consolidation and Settlement  Reduction in Soft soils,Springer Proceedings under IGC 2023 – Ground Improvement technique-1,,IGC 2023,Yes,2,Aceepted and Under Process for Publication,Aceepted and Under Process for Publication,Aceepted and Under Process for Publication
8,Experimental study of ground improvement techniques of soft Kaolin soil using sand drain and jute wrapped with polyamide polyester vertical drain”,Material Today Proceedings,,NBL 2023,Yes,2,,https://doi.org/10.1016/j.matpr.2024.02.036,https://www.sciencedirect.com/science/article/abs/pii/S2214785324000993
9,IoT-Enabled Monitoring of Prefabricated Drain Performance for Ground Improvement—A Review,Springer Nature Singapore,,International Conference on Interdisciplinary Approaches in Civil Engineering for Sustainable Development 2023,Yes,2,,https://link.springer.com/chapter/10.1007/978-981-97-0072-1_26,https://link.springer.com/chapter/10.1007/978-981-97-0072-1_26
10,Effect of Influence Zone Related to Size of Drain,Conference Proceedings,,NCIET- 2021,Yes,2,,,http://nciet.srpec.org.in/
11,Theoretical Simulation of Ecperimental Results with Barron’s Theory for Consolidation of Soft clay by Radial flow using PVD,Springer Book Chapter,,IGC-2020 (Year of Publication 2022),Yes,2,,,https://link.springer.com/chapter/10.1007/978-981-16-5605-7_25
